Language Code,Language Name,Sphere,ID,YouTubeURL,,,,transcript,Q1,Q2,Q3,Q4,CallToAction,
ENG,English,EDU,EDU-CAT-1,https://youtu.be/Wqv9Vr3ZiIg,,,,,,,,,,
ENG,English,EDU,EDU-01,https://youtu.be/WfxJPfDo-OU,,,,,Why is understanding God's relational nature essential in our understanding of education?,"If God seeks to reveal Himself relationally, how should this shape our educational methods and goals?",,,How will you apply the knowledge you gained today in your daily life?,
ENG,English,EDU,EDU-02,https://youtu.be/_CZAi3PySqw,,,,,Why is it important to consider God the Father as a teacher in the educational sphere?,How might our approach to teaching and learning change if we viewed God the Father as our teacher?,,,What steps are you motivated to take after today's discoveries?,
ENG,English,EDU,EDU-03,https://youtu.be/U2jup_GPu-M,,,,,Why is recognizing Jesus Christ as a servant teacher crucial in shaping our educational philosophy?,How can educators innovate their teaching methods to accurately model Jesus' style of teaching and what impact would that have on education? ,,,How has today's learning inspired you to make a change?,
ENG,English,EDU,EDU-04,https://youtu.be/VUE_8npnuMU,,,,,Why does the concept of the Holy Spirit as a teacher challenge traditional views of learning and wisdom?,What role should the Holy Spirit have in modern education?,,,What commitments are you ready to make based on today's insights?,
ENG,English,EDU,EDU-05,https://youtu.be/yfSJece07mQ,,,,,How does understanding God as a warrior shape our foundational beliefs about the role of education in society?,What practical outcomes might we expect in educational settings if we recognize teaching as an act of spiritual warfare?,,,What is one action you feel compelled to take after today's session?,
ENG,English,EDU,EDU-06,https://youtu.be/APAJ88Du23M,,,,,Why is the image of God as a shepherd vital in shaping our approach to education?,"What could change in teaching styles if we had more compassion, especially for those who are struggling?",,,How do you plan to implement today's lessons into your routine?,
ENG,English,EDU,EDU-CAT-2,https://youtu.be/DaARY6JoKNc,,,,,,,,,,
ENG,English,EDU,EDU-07,https://youtu.be/QFcDNScaotI,,,,,Why does true knowledge begin with the fear of the Lord?,"If the purpose of education is to equip students with practical wisdom, what tangible effects should this have on their personal and professional lives?",,,What change are you inspired to enact following today's knowledge?,
ENG,English,EDU,EDU-08,https://youtu.be/lvXpkqLSdog,,,,,Why do right living and right relationships demonstrate true biblical learning?,How can aligning educational purposes with Biblical principles practically transform the learning environment?,,,In what way will you act on the information you've acquired today?,
ENG,English,EDU,EDU-09,https://youtu.be/_SXhzyXrEFA,,,,,Why does obeying God's ways bring both individual and corporate blessing?,What would it look like for every education subject to be built on God's truth?,,,What proactive step will you take as a result of what you've learned?,
ENG,English,EDU,EDU-10,https://youtu.be/uKpKRVs8P2k,,,,,How do these verses challenge our view of educational goals?,What are the implications of pursuing transformational education in both personal and societal contexts?,,,How will today's insights shape your actions moving forward?,
ENG,English,EDU,EDU-11,https://youtu.be/iW-w13Yz4p0,,,,,Why does spending relational time with Jesus still transform lives today?,How can educators foster an environment that prioritizes life transformation through knowing Jesus?,,,What measures are you prepared to take following today's sphere discovery?,
ENG,English,EDU,EDU-12,https://youtu.be/fWYHnkgbq4E,,,,,Why is societal transformation an important goal of Biblical education?,In what ways would a society based on biblical principles contrast your culture?,,,How has today's content motivated you to take immediate action?,
ENG,English,EDU,EDU-13,https://youtu.be/fcMSDhLzlWY,,,,,Why is the metaphor of the potter’s house relevant in understanding Biblical education?,How might this metaphor influence the development and implementation of training and assessment methods?,,,What initiative will you undertake inspired by today's learning?,
,,,EDU-CAT-3,https://youtu.be/we14aMytYcA,,,,,,,,,,
ENG,English,EDU,EDU-14,https://youtu.be/E1Ao5WDKVec,Education #14 with intro,https://youtu.be/we14aMytYcA,,,"How does Ezra commitment to study, obey, and teach challenge our understanding of a teacher's responsibility to be a life-long learner?",How might this approach transform the teacher-student relationship and learning outcomes?,,,"In light of today's session, what practical steps will you take?",
ENG,English,EDU,EDU-15,https://youtu.be/Vnlu940gcpo,,,,,How does this scripture challenge our current standards and methods of teaching?,How can striving to teach well according to Biblical standards impact students' learning experiences and outcomes?,,,How will the knowledge from today spur you into action?,
ENG,English,EDU,EDU-16,https://youtu.be/cpOrFs3Dh1I,,,,,Why is teaching incomplete if we only focus on truth without Spirit?,How might the integration of spirit and truth challenge conventional teaching methodologies?,,,What personal goal will you set after today's educational experience?,
ENG,English,EDU,EDU-17,https://youtu.be/jJPKHNRld6c,,,,,Why is knowing your audience a critical factor in effective Biblical teaching?,What practical strategies can teachers implement to better understand and connect with their audience?,,,How do you intend to transform today's learning into action?,
ENG,English,EDU,EDU-18,https://youtu.be/l7uEtC9n_uE,,,,,"According to this passage, why is creativity in the use of different teaching methods essential in education?",How can you be more intentional in using different learning styles to engage with those you are mentoring or training?,,,What specific action will you commit to after absorbing today's material?,
ENG,English,EDU,EDU-19,https://youtu.be/d4Fk9BljMdM,,,,,Why are relationships important in Biblical education?,What are some ways that teachers can enhance the overall educational experience by developing a more relational learning environment?,,,"In response to today's lessons, what change are you inspired to make?",
ENG,English,EDU,EDU-20,https://youtu.be/fe4XMp8FDGc,,,,,How does incorporating prayer for students change the teacher’s approach to education?,How can the practice of praying for students be creatively incorporated into educational settings?,,,How will you channel today's newfound knowledge into positive action?,
ENG,English,EDU,EDU-21,https://youtu.be/_mQdJnd1KHg,,,,,Why should teachers be held to a higher standard?,In what ways does this challenge you to consider the content of what you teach?,,,What action are you inspired to take in light of what you have learned today?,
ENG,English,EDU,EDU-CAT-4,https://youtu.be/1iRgWdflk6U,,,,,,,,,,
ENG,English,EDU,EDU-22,https://youtu.be/Gf7WjgqEfSE,,,,,Why is imitating God as the Master critical in a student's educational journey?,How might the concept of imitating the Master transform students' approach to learning and personal development?,,,"In light of today's session, what practical steps will you take?",
ENG,English,EDU,EDU-23,https://youtu.be/UIAMpMlokSo,,,,,Why is considering Jesus crucial in shaping a student's approach to education?,How can Jesus as a role-model impact a student's academic and personal life?,,,How will the knowledge from today spur you into action?,
ENG,English,EDU,EDU-24,https://youtu.be/wT-EDcBGiAk,,,,,Why is a hunger for God and His word foundational in a student's educational experience?,What are practical ways a students can increase their hunger for God's word in their learning process?,,,What personal goal will you set after today's educational experience?,
ENG,English,EDU,EDU-25,https://youtu.be/ex1htZFkEP0,,,,,"Why is dependancy on God for wisdom important for learning no matter the topic?

",How can faith in God transform the way students perceive and engage with their education?,,,How do you intend to transform today's learning into action?,
ENG,English,EDU,EDU-26,https://youtu.be/yz_QZ98HXrQ,,,,,Why does this framework of thinking establish a healthy foundation for learning?,"How might this focus influence students' attitudes, behaviors, and academic performance?",,,What specific action will you commit to after absorbing today's material?,
ENG,English,EDU,EDU-27,https://youtu.be/aH68djj4ano,,,,,Why is knowing how to apply knowledge an essential goal of all learning? ,What does eagerness to apply knowledge look like for students in different topics and levels of education?,,,"In response to today's lessons, what change are you inspired to make?",
ENG,English,EDU,EDU-28,https://youtu.be/eRWxmJQscSw,,,,,How does a teachable attitude play a crucial role in students' abilities to grasp and apply new concepts?,How can fostering a teachable attitude in students influence the culture of a learning environment?,,,How will you channel today's newfound knowledge into positive action?,
ENG,English,EDU,EDU-29,https://youtu.be/Ek-Pj9ZCE_E,,,,,Why is the attitude of perseverance and resilience crucial in the learning process?,What impact might a persistent approach to learning have on a student's long-term success and personal development?,,,What action are you inspired to take in light of what you have learned today?,
ENG,English,EDU,EDU-CAT-5,https://youtu.be/Rgs1kqYzIDM,,,,,,,,,,
ENG,English,EDU,EDU-30,https://youtu.be/7zgsC5Jo6lw,,,,,Why might grounding education in God's Word provide a more holistic understanding of the world?,What changes should be made in the current educational system to align with this principle?,,,What change are you inspired to enact following today's knowledge?,
ENG,English,EDU,EDU-31,https://youtu.be/qgqqz_fMEvc,,,,,Why is the act of asking questions fundamental in the process of learning?,How can the practice of asking questions contribute to a more dynamic and interactive learning environment?,,,In what way will you act on the information you've acquired today?,
ENG,English,EDU,EDU-32,https://youtu.be/F41LjpTByg8,,,,,Why is question-asking in education important in developing implicational thinking?,How can educators facilitate an environment that nurtures question-asking and greater implicational thinking?,,,What proactive step will you take as a result of what you've learned?,
ENG,English,EDU,EDU-33,https://youtu.be/zwizXCKp0bk,,,,,Why must biblical education aim to cultivate discernment and critical thinking?,What practical ways can educators incorporate critical thinking exercises that develop problem-solving and analytical skills?,,,How will today's insights shape your actions moving forward?,
ENG,English,EDU,EDU-34,https://youtu.be/IzzD0-f5ow4,,,,,Why is guarding one's heart emphasized as essential in biblical education?,What are some strategies students can use to prioritize guarding their hearts in their education?,,,What measures are you prepared to take following today's sphere discovery?,
ENG,English,EDU,EDU-35,https://youtu.be/VPX4H6OOMDM,,,,,Why is the love of good and hatred of evil foundational to acquiring wisdom and knowledge?,How can an educational framework be structured to promote a love for good and a rejection of evil?,,,How has today's content motivated you to take immediate action?,
ENG,English,EDU,EDU-36,https://youtu.be/1Ba3mOmQZ0c,,,,,Why does building character through virtue matter as much as acquiring knowledge?,How should this progression of qualities shape educational objectives and methods?,,,What initiative will you undertake inspired by today's learning?,
ENG,English,EDU,EDU-37,https://youtu.be/V3J0CmoUzOE,,,,,Why does biblical education emphasize the authority of families in the education of children?,How can families be supported or equipped to fulfill their educational role within the biblical framework?,,,What change are you inspired to enact following today's knowledge?,
ENG,English,EDU,EDU-38,https://youtu.be/ftAnvvPzFzs,,,,,,,,,In what way will you act on the information you've acquired today?,
ENG,English,EDU,EDU-39,https://youtu.be/MWlYktbrgEY,,,,,,,,,What proactive step will you take as a result of what you've learned?,
ENG,English,EDU,EDU-40,https://youtu.be/r-SapVEd5aA,,,,,Why is supporting good teachers vital in biblical education?,What actions can communities take to support and encourage teachers who are committed to biblical education?,,,How will today's insights shape your actions moving forward?,
ENG,English,EDU,EDU-CAT-6,https://youtu.be/-B_kblTOtGc,,,,,,,,,,
ENG,English,EDU,EDU-41,https://youtu.be/6wrL8DawFyg,,,,,Why does the act of remembering play a foundational role in education?,What does focusing on remembering teach us about the importance of history and legacy in education?,,,What measures are you prepared to take following today's sphere discovery?,
ENG,English,EDU,EDU-42,https://youtu.be/I1roGwbl2r8,,,,,Why is it crucial for students to move beyond rote learning to genuine comprehension of principles?,What changes in educational assessment are necessary to value and measure understanding over information recall?,,,How has today's content motivated you to take immediate action?,
ENG,English,EDU,EDU-43,https://youtu.be/7Ostojnc0kQ,,,,,Why can the emphasis on applying knowledge challenge educational systems focused on theoretical knowledge?,What practical steps can educators take to encourage students to apply their learning in community and societal contexts?,,,What initiative will you undertake inspired by today's learning?,
ENG,English,EDU,EDU-44,https://youtu.be/Za3-P6vncdg,,,,,Why is critical analysis important for discerning truth in a world saturated with information?,What collaborative efforts are needed between educators and community leaders to promote analytical thinking that helps address societal problems?,,,In what practical ways will you apply today's knowledge to your life?,
ENG,English,EDU,EDU-45,https://youtu.be/0iJVzzInFCw,,,,,Why is evaluating ideas and actions through a biblical lens crucial in preparing young people for community engagement?,What changes in education are needed to incorporate evaluative thinking as a fundamental part of the learning process?,,,"Following today's session, what are your action plans?",
ENG,English,EDU,EDU-46,https://youtu.be/KboEPDtOWPs,,,,,Why is creativity an expression of God’s image in humans and how does this influence education?,What opportunities does emphasizing creativity in education open up for innovation and problem-solving?,,,How will the insights from today drive your future endeavors?,
ENG,English,EDU,EDU-CAT-7,https://youtu.be/qjrEzAhdVss,,,,,What faith foundations do you want to pass on to your household?,Who might you mentor in skillful parenting and instruction?,,,,
ENG,English,EDU,EDU-47,https://youtu.be/d5L3KwV60g8,,,,,Why are ethical practices and stewardship crucial in this sphere?,How can you contribute to schools and systems guided by wisdom?,,,What personal or professional actions are you motivated to take after today's session?,
ENG,English,EDU,EDU-48,https://youtu.be/LmygQ6B20es,,,,,Where might you share perspectives to shape societal leaders?,How can you build up those God has placed in authority?,,,How do you plan to act on the knowledge and inspiration gained today?,
ENG,English,EDU,EDU-49,https://youtu.be/OzIvnrqkjN4,,,,,,,,,"In response to our learning today, what innovative steps will you take?",
ENG,English,EDU,EDU-50,https://youtu.be/6Mjmrl4zG1U,,,,,,,,,How will today's newfound knowledge shape your actions or decisions moving forward?,
ENG,English,EDU,EDU-51,https://youtu.be/cChIKzHc41w,,,,,,,,,How will the knowledge acquired today influence your future actions?,
ENG,English,EDU,EDU-52,https://youtu.be/0VuhWpELpoo,Education #52 Outro,https://youtu.be/mN_OpSEMWuY,,,,,,,"After today's educational session, what immediate actions do you plan to take?",
ENG,English,FAM,FAM-CAT-1,https://youtu.be/Mnne3_AoPcs,,,,"SECTION INTRODUCTION
So we're going to divide this in several sections. The first one, we're going to look at 10 passages that talk about God in this sphere of family. Family is foundational to society, marriage was established by God in Genesis 2 before the fall; this was when everything was good. It's his design for extending his blessings to the nations of the earth.",,,,,,
ENG,English,FAM,FAM-01,https://youtu.be/gJ6D09PS_50,,,,"Number 1: God is like a Good Father.
We take this from 1 John 3:1-2. It says, see what great love the Father has lavished on us, that we should be called children of God. And that is what we are. The reason the world does not know us is that it does not know him. Dear friends, now we are children of God. And what we will be has not yet been made known, but we know that when Christ appears, we shall be like him for, we shall see him as he is.
You know that the Original Testament refers to God as father only 19 times. That might be surprising to you. This was not the common way that the Jewish people spoke of God. It was much too intimate. But when Jesus came on the scene, he addresses God as father 190 times: ten times more than all the Old Testament. And this is was highly unusual.
It was not mindless repetition of cultural verbiage that he was just saying. Jesus was trying to communicate to his audience, that God wants to have an intimate familial relationship with them. Among the Jewish people, they spoke of God as the God of Abraham, Isaac, and Jacob, the God of the fathers. He was their God. And Jesus wanted to make know that God is our God, like your father. The one who first saw you upon birth and who occasioned conception. He is that close to you. So relational intimacy is supposed to be present reality. He taught us to pray our Father. Our Father. Not just Jesus', but our father because of what Jesus has done.",How could seeing God as your loving Father transform your life?,"How can seeing God as a good Father transform families?

",,,What step will you take today based on your new insights?,
ENG,English,FAM,FAM-02,https://youtu.be/xOd9g19Usqo,,,,"Number 2: God is Like a Good Mother.
Isaiah 49:15 says, …Can a mother forget her nursing child? Can she feel no love for the child she has borne? But even if that were possible, I would not forget you.
See, family is to be the place of ever present, constant caring and love. It's attentive love. I can't imagine my mom ever having forgotten me. She was always thinking about me and my brothers and sisters. But even if she had, God does not. As you know these terms, God is our father and God is mother: These are not gender defining terms. God is above gender; Father and mother are metaphors. They're the life givers. They're the life protectors. They're the life enhancers. And those are the things that we're supposed to experience in family, when we do it, according to Biblical patterns.",Why does Isaiah 49:15 compare God to a mother and how does this affect your view of God?,"If people experienced God's constant, attentive love what are some ways society could be transformed? ",,,How will you apply today's knowledge in your life?,Reflect on a time God comforted you tenderly like a mother.
ENG,English,FAM,FAM-03,https://youtu.be/Rps8Y9QaGt0,,,,"Number 3: God is a Father to the Fatherless
Our third passage is this. God is a Father to the Fatherless. This comes from Psalm 68:5-6. He said that he is a Father to the fatherless, defender of widows — this is God, whose dwelling is holy. God places the lonely in families…
You know, when we talk about this subject, not everyone lives in an ideal family. Some of you have a lot of pain from your family background. Your family may have been broken, dysfunctional, or just non-existent. Whatever your situation, God is there for you. If you are fatherless, he's there for you. If you're a widow, he's there for you. If you're lonely, he's there for you. God wants to come to re-parent us, to re-family us, to restore us, to take that which was not as it should have been and create what it ought to have been. That's what coming into the family of God is all about. He fills the void and he makes up for life's brokenness. This is what family is supposed to be like. None of us have a perfect family, but all of us have a perfect God who wants to restore the idea of family and our experience through the way he deals with us.",How have you experienced God's fatherly care in your own life?,How God can re-parent and re-family those from broken backgrounds?,,,What change are you motivated to make after today's discoveries?,How could mentors provide family stability to the vulnerable?
